scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
240hz-loss5,zcrudp,4,2400,240,10,5,159,36685,4.334,779,28453,29439,21240,2428,124,28977.478,0
240hz-loss5,zcrudp,5,2400,240,10,5,230,48331,4.759,4588,32222,46337,30112,3560,179,25227.765,0
240hz-loss5,ENet,1,2400,240,10,5,2400,10006,239.856,15,63,167,62096,4973,243,564.307,1
240hz-loss5,ENet,2,2400,240,10,5,2400,10022,239.473,15,90,168,61678,4800,236,606.879,1
240hz-loss5,ENet,3,2400,240,10,5,2400,10006,239.856,14,48,73,62402,5043,245,580.398,1
240hz-loss5,ENet,4,2400,240,10,5,2400,10212,235.018,15,212,462,62936,4989,273,559.513,1
240hz-loss5,ENet,5,2400,240,10,5,2400,10044,238.949,15,85,126,62038,4816,250,655.850,1
240hz-loss5,KCP-default,1,2400,240,10,5,2400,112710,21.294,50401,97215,102196,135736,1043,52,457.381,1
240hz-loss5,KCP-default,2,2400,240,10,5,2400,73910,32.472,37697,62192,63456,129912,715,16,343.131,1
240hz-loss5,KCP-default,3,2400,240,10,5,2400,108113,22.199,52930,94812,97631,133884,997,49,408.240,1
240hz-loss5,KCP-default,4,2400,240,10,5,2400,106011,22.639,55003,88300,94918,134252,979,47,397.830,1
240hz-loss5,KCP-default,5,2400,240,10,5,2400,110514,21.717,46724,95426,100002,134576,1035,45,479.196,1
240hz-loss5,KCP-fast,1,2400,240,10,5,2400,10013,239.688,18,58,69,133360,1813,92,265.793,1
240hz-loss5,KCP-fast,2,2400,240,10,5,2400,10042,238.996,18,52,66,132220,1826,68,211.215,1
240hz-loss5,KCP-fast,3,2400,240,10,5,2400,10015,239.641,18,56,70,133040,1853,84,191.933,1
240hz-loss5,KCP-fast,4,2400,240,10,5,2400,10055,238.687,18,56,69,134040,1831,90,229.010,1
240hz-loss5,KCP-fast,5,2400,240,10,5,2400,10013,239.688,18,58,76,133144,1826,98,263.475,1
